Fingerprint; Model; Time; X; Y; Z; Magnitude
1; SM-A310F; 2018-09-29 15:19:35; 15.870998; -2.3479996; -26.904999; 31.325399273567726
2; SM-A310F; 2018-09-29 15:19:35; 15.033001; -2.4660034; -31.852997; 35.308436229112615
3; SM-A310F; 2018-09-29 15:19:35; 16.069; -1.8529968; -31.121002; 35.073680815356404
4; SM-A310F; 2018-09-29 15:19:36; 17.175999; 1.1299973; -17.485992; 24.536743015577677
5; SM-A310F; 2018-09-29 15:19:36; 16.536; 0.1269989; -16.21701; 23.16132203435085
6; SM-A310F; 2018-09-29 15:19:36; 16.891003; -0.033996582; -15.092987; 22.651830118443936
7; SM-A310F; 2018-09-29 15:19:36; 16.523998; 0.47899628; -15.220001; 22.4704334546237
8; SM-A310F; 2018-09-29 15:19:36; 16.5; 0.40000153; -14.5; 21.96952442958448
9; SM-A310F; 2018-09-29 15:19:36; 16.2; 0.30000305; -14.5; 21.743505450981793
10; SM-A310F; 2018-09-29 15:19:37; 15.758999; -2.3909988; -29.497986; 33.52900373999912
11; SM-A310F; 2018-09-29 15:19:37; 15.968998; 0.5970001; -16.001007; 22.614100069926643
12; SM-A310F; 2018-09-29 15:19:37; 15.479; 0.6490021; -15.723999; 22.07407462404285
13; SM-A310F; 2018-09-29 15:19:37; 15.765999; -2.7300034; -29.783997; 33.80985180537712
14; SM-A310F; 2018-09-29 15:19:37; 16.132; 0.03199768; -15.380005; 22.288719519574595
15; SM-A310F; 2018-09-29 15:19:38; 16.036999; 0.13800049; -15.282013; 22.152749111857215
16; SM-A310F; 2018-09-29 15:19:38; 16.281002; -0.06800079; -15.376007; 22.39413435294985
17; SM-A310F; 2018-09-29 15:19:38; 16.2; -0.19999695; -14.700012; 21.876252056802013
18; SM-A310F; 2018-09-29 15:19:38; 16.100002; -0.19999695; -14.600006; 21.735001226600208
19; SM-A310F; 2018-09-29 15:19:38; 16.100002; -0.19999695; -14.299988; 21.534617389072647
20; SM-A310F; 2018-09-29 15:19:38; 16.0; 0.0; -14.399994; 21.52579388190117
21; SM-A310F; 2018-09-29 15:19:39; 16.100002; 0.099998474; -14.5; 21.667258543097635
22; SM-A310F; 2018-09-29 15:19:39; 15.417999; -2.0579987; -30.088013; 33.870909721922516
23; SM-A310F; 2018-09-29 15:19:39; 16.159; -1.1019974; -32.136017; 35.98682077554573
24; SM-A310F; 2018-09-29 15:19:39; 13.603001; -1.1090012; -34.833008; 37.41136008328553
25; SM-A310F; 2018-09-29 15:19:39; 15.600002; -1.5; -32.899994; 36.44200396959959
26; SM-A310F; 2018-09-29 15:19:39; 15.887001; -0.22000122; -27.317993; 31.60249921355855
27; SM-A310F; 2018-09-29 15:19:40; 19.885998; 1.4749985; -21.290009; 29.17007036966304
28; SM-A310F; 2018-09-29 15:19:40; 15.882; 0.23899841; -15.223999; 22.001481439822978
29; SM-A310F; 2018-09-29 15:19:40; 16.207; 0.28700256; -14.493988; 21.744537719949275
30; SM-A310F; 2018-09-29 15:19:40; 16.2; 0.19999695; -14.799988; 21.943556772726946
31; SM-A310F; 2018-09-29 15:19:40; 15.899998; 0.0; -14.799988; 21.722098156942476
32; SM-A310F; 2018-09-29 15:19:40; 16.0; -0.099998474; -15.200012; 22.06921803149093
33; SM-A310F; 2018-09-29 15:19:41; 16.174; -2.0999985; -24.668; 29.5722578207547
34; SM-A310F; 2018-09-29 15:19:41; 16.564; 0.5070038; -14.963989; 22.328100397992046
35; SM-A310F; 2018-09-29 15:19:41; 15.7820015; 0.13999939; -15.851013; 22.368409960481237
36; SM-A310F; 2018-09-29 15:19:41; 15.880001; 0.3710022; -15.578003; 22.24828683494178
37; SM-A310F; 2018-09-29 15:19:41; 16.011997; 0.23300171; -15.446991; 22.249671504992566
38; SM-A310F; 2018-09-29 15:19:41; 15.899998; 0.30000305; -14.600006; 21.58842488722436
39; SM-A310F; 2018-09-29 15:19:42; 15.899998; 0.19999695; -14.799988; 21.723019055480425
40; SM-A310F; 2018-09-29 15:19:42; 15.799999; 0.0; -14.600006; 21.512790157970198
41; SM-A310F; 2018-09-29 15:19:42; 15.799999; 0.0; -14.600006; 21.512790157970198
42; SM-A310F; 2018-09-29 15:19:42; 15.700001; 0.0; -14.799988; 21.576136426291374
43; SM-A310F; 2018-09-29 15:19:42; 15.799999; 0.0; -14.700012; 21.58078651670711
44; SM-A310F; 2018-09-29 15:19:43; 15.799999; 0.099998474; -14.799988; 21.64924030336609
45; SM-A310F; 2018-09-29 15:19:43; 15.938; 0.2519989; -14.845001; 21.782043004753653
46; SM-A310F; 2018-09-29 15:19:43; 15.896; 0.22799683; -15.269989; 22.043306209205834
47; SM-A310F; 2018-09-29 15:19:43; 16.002003; 0.084999084; -14.7170105; 21.740784545330566
48; SM-A310F; 2018-09-29 15:19:43; 15.799999; 0.30000305; -15.0; 21.788299164201643
49; SM-A310F; 2018-09-29 15:19:43; 18.718998; 2.540001; -24.108002; 30.62757283516664
50; SM-A310F; 2018-09-29 15:19:44; 16.280003; 1.7799988; -16.779999; 23.44728701907083
51; SM-A310F; 2018-09-29 15:19:44; 15.687; 0.36100006; -15.208008; 21.851677019721365
52; SM-A310F; 2018-09-29 15:19:44; 16.305; 0.461998; -15.200989; 22.296558829660942
53; SM-A310F; 2018-09-29 15:19:44; 16.0; 0.80000305; -14.700012; 21.74236365249339
54; SM-A310F; 2018-09-29 15:19:44; 15.899998; 0.40000153; -14.600006; 21.590046235141482
55; SM-A310F; 2018-09-29 15:19:44; 15.799999; 0.19999695; -14.399994; 21.378489070134844
56; SM-A310F; 2018-09-29 15:19:45; 15.799999; 0.30000305; -14.399994; 21.379658152431805
57; SM-A310F; 2018-09-29 15:19:45; 15.899998; 0.30000305; -14.100006; 21.253472257676215
58; SM-A310F; 2018-09-29 15:19:45; 16.0; 0.19999695; -14.200012; 21.39346533142115
59; SM-A310F; 2018-09-29 15:19:45; 16.100002; 0.19999695; -14.200012; 21.46835908714337
60; SM-A310F; 2018-09-29 15:19:45; 16.100002; 0.19999695; -14.299988; 21.534617389072647
61; SM-A310F; 2018-09-29 15:19:45; 16.2; 0.19999695; -14.700012; 21.876252056802013
62; SM-A310F; 2018-09-29 15:19:46; 15.757; 0.2990036; -15.022003; 21.772299373734764
63; SM-A310F; 2018-09-29 15:19:46; 16.207; 0.07900238; -14.503998; 21.749461200222868
64; SM-A310F; 2018-09-29 15:19:46; 16.39; 0.43800354; -14.843994; 22.11714472576224
65; SM-A310F; 2018-09-29 15:19:46; 15.685001; 0.81700134; -15.705994; 22.21182095719248
66; SM-A310F; 2018-09-29 15:19:46; 15.742001; -2.415001; -27.652008; 31.910442917444755
67; SM-A310F; 2018-09-29 15:19:46; 16.204998; -1.8079987; -31.834991; 35.76782806397479
68; SM-A310F; 2018-09-29 15:19:47; 16.613003; -1.4000015; -31.860016; 35.95848232575834
69; SM-A310F; 2018-09-29 15:19:47; 15.5; -2.0; -33.100006; 36.604102933448594
70; SM-A310F; 2018-09-29 15:19:47; 15.5; -1.699997; -33.100006; 36.58893775734597
71; SM-A310F; 2018-09-29 15:19:47; 15.5; -1.4000015; -33.0; 36.48575010791885
72; SM-A310F; 2018-09-29 15:19:47; 15.700001; -1.300003; -32.899994; 36.47724769783728
73; SM-A310F; 2018-09-29 15:19:47; 16.374; 1.711998; -17.454987; 23.994068684390523
74; SM-A310F; 2018-09-29 15:19:48; 15.889999; 0.23899841; -16.048004; 22.585120023687608
75; SM-A310F; 2018-09-29 15:19:48; 15.741001; 0.017997742; -14.845001; 21.636855210911975
76; SM-A310F; 2018-09-29 15:19:48; 16.100002; 0.5; -15.0; 22.01045394824497
77; SM-A310F; 2018-09-29 15:19:48; 16.064; -2.2340012; -31.710999; 35.61783610809951
78; SM-A310F; 2018-09-29 15:19:48; 16.218998; -2.6559982; -31.244995; 35.30382221914859
79; SM-A310F; 2018-09-29 15:19:48; 16.194; -2.4550018; -31.587006; 35.58105671111649
80; SM-A310F; 2018-09-29 15:19:49; 16.0; -2.4000015; -32.200012; 36.036104535286896
81; SM-A310F; 2018-09-29 15:19:49; 16.3; -2.199997; -32.399994; 36.33578884214914
82; SM-A310F; 2018-09-29 15:19:49; 16.399998; -2.300003; -32.5; 36.47601951967895
83; SM-A310F; 2018-09-29 15:19:49; 16.780003; -0.47299957; -23.191986; 28.629711846098363
84; SM-A310F; 2018-09-29 15:19:49; 16.094997; -4.0599976; -32.73001; 36.69858488841906
85; SM-A310F; 2018-09-29 15:19:50; 16.900997; -0.117996216; -15.744995; 23.098971838590565
86; SM-A310F; 2018-09-29 15:19:50; 16.712002; 0.12000275; -13.096008; 21.232306800034262
87; SM-A310F; 2018-09-29 15:19:50; 16.491001; -0.47299957; -15.570007; 22.684840527235227
88; SM-A310F; 2018-09-29 15:19:50; 16.283; -0.37400055; -14.795013; 22.003826848893667
89; SM-A310F; 2018-09-29 15:19:50; 16.889; -0.19799805; -15.036987; 22.613901018778456
90; SM-A310F; 2018-09-29 15:19:50; 16.545002; -0.33200073; -15.363007; 22.580285498923406
91; SM-A310F; 2018-09-29 15:19:51; 16.037998; -0.526001; -14.832001; 21.85136837373549
92; SM-A310F; 2018-09-29 15:19:51; 15.964001; 0.58599854; -14.359985; 21.480268073371576
93; SM-A310F; 2018-09-29 15:19:51; 16.384998; 0.7610016; -14.087006; 21.621540829275588
94; SM-A310F; 2018-09-29 15:19:51; 16.617; -1.8889999; -31.438995; 35.61043939008177
95; SM-A310F; 2018-09-29 15:19:51; 16.577; -1.5559998; -30.420013; 34.67845462017807
96; SM-A310F; 2018-09-29 15:19:51; 16.413998; -1.2910004; -33.436005; 37.26999450274141
97; SM-A310F; 2018-09-29 15:19:52; 16.627003; -1.324997; -32.007996; 36.09327651204584
98; SM-A310F; 2018-09-29 15:19:52; 16.358997; -1.3529968; -31.407013; 35.43794435898653
99; SM-A310F; 2018-09-29 15:19:52; 16.314999; -1.3259964; -32.578003; 36.4590684449699
100; SM-A310F; 2018-09-29 15:19:52; 16.805; 0.7350006; -16.790985; 23.76731867526749
