Fingerprint; Model; Time; X; Y; Z; Magnitude
1; ONEPLUS A6003; 2018-09-29 15:22:21; -6.599861; -15.272579; -11.459976; 20.20249736191551
2; ONEPLUS A6003; 2018-09-29 15:22:21; -7.2481537; -14.697296; -12.049881; 20.340743585458597
3; ONEPLUS A6003; 2018-09-29 15:22:21; -7.003134; -14.0842; -11.494827; 19.481776402997912
4; ONEPLUS A6003; 2018-09-29 15:22:21; -7.053711; -14.926588; -12.172096; 20.511405935174214
5; ONEPLUS A6003; 2018-09-29 15:22:21; -6.9396687; -14.142397; -11.813652; 19.690829331585427
6; ONEPLUS A6003; 2018-09-29 15:22:22; -7.0644226; -14.308344; -11.999565; 19.96557859450312
7; ONEPLUS A6003; 2018-09-29 15:22:22; -6.940132; -14.255993; -12.514465; 20.199272762086945
8; ONEPLUS A6003; 2018-09-29 15:22:22; -7.0656853; -14.252283; -12.065384; 19.965594643847247
9; ONEPLUS A6003; 2018-09-29 15:22:22; -6.5475636; -14.826128; -12.307098; 20.35065976884641
10; ONEPLUS A6003; 2018-09-29 15:22:22; -6.873085; -14.255747; -11.554352; 19.59511822998947
11; ONEPLUS A6003; 2018-09-29 15:22:23; -7.3171463; -14.415087; -12.122391; 20.20613074605236
12; ONEPLUS A6003; 2018-09-29 15:22:23; -7.1239777; -14.588318; -12.310425; 20.374411357965503
13; ONEPLUS A6003; 2018-09-29 15:22:23; -6.8696365; -14.594149; -12.312103; 20.292091610615053
14; ONEPLUS A6003; 2018-09-29 15:22:23; -7.0100517; -13.86087; -12.270363; 19.794604188527458
15; ONEPLUS A6003; 2018-09-29 15:22:23; -6.994158; -14.646612; -11.861237; 20.10299560087765
16; ONEPLUS A6003; 2018-09-29 15:22:24; -6.5566616; -14.320457; -12.259071; 19.95871134846652
17; ONEPLUS A6003; 2018-09-29 15:22:24; -7.0555573; -14.814127; -12.11161; 20.39437076466736
18; ONEPLUS A6003; 2018-09-29 15:22:24; -6.7390137; -14.708729; -11.925171; 20.09902244202439
19; ONEPLUS A6003; 2018-09-29 15:22:24; -7.0033684; -14.197681; -12.131622; 19.944863421550345
20; ONEPLUS A6003; 2018-09-29 15:22:24; -7.1323814; -14.082308; -12.070305; 19.871449663241734
