scan; model; timestamp; text; twice recognized; locationID
1; ZTE Blade L5 Plus; 2018-10-13 10:12:34; TLSES SToD; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:12:34; Hahe; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:12:34; A; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:12:34; the; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; 9 s20 SI6mu; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; 9nor25qIO 19V6; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; s ilpsb ANTLIGEN STOD; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; Miss Brooke had; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; that kind of beauty which; false; 11; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; seems to be thrown; false; 11; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; into relief by poor dress.; false; 11; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; om 19wans YM; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; Who's; false; 11; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; there?; false; 11; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; lloe 1uoy blolny; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; Hohe Herren; false; 11; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; 3 von der Akademiel; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; AGIO1; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; obibT9g aon; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; PRASTEN I; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; PREDIKSTOLEN.; false; 11; 
2; ZTE Blade L5 Plus; 2018-10-13 10:12:36; .oluoalo; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; ittils ilpsb ANTLIGEN STOD; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; PRASTENI; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; ad; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; eauty which; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; thrown; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; 7 poor dress.; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; PREDIKSTOLEN.; true; 11; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; :om 13wzns; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; Silo2 1uor blotny & bns2 Who's; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; there?; true; 11; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; Lydia brukad; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; a bada ensam.; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; Hohe Herren; true; 11; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; a von der Akademie!; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; s20 sIsrmU; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; 9101226qmIo 1975; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; 9129 UE; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; obib9g 2ormsH oa a; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:12:39; oluaigo1; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:12:41; DET 210 VORDERSET; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:12:41; STOD; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:12:41; Il faut, autant qu'on peut, obliger tout le monde:; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:12:41; obib19q aormsH On a souvent besoln d'un plus petit; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:12:41; que soi.; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:12:41; LEN.; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:12:41; 9129 MUS; false; null; 
