scan; model; timestamp; text; twice recognized; locationID
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; :sbnom sl tuas 19pildo usq no'up tn6tu6 uG I; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; oz sup tiog auig nu'b nlozsd 1nsvuo2 6 no Hemos perdido; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; aun este; false; 12; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; .MaiOTa; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; crepúsculo.; false; 12; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; De o săptămină...; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; De o săptămină nu mai am linişte,; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; Nay answer me:; false; 12; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; fir-ar sa fie!; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; 2 od W Stand & vnfold vour; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; S919r; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; 9bsu1d siby; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; .Ins2n9 sbsd Egy kissé mindjárt; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; hátra is hóköltem tölik,; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; Iermészetesen.; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; lsimsbe; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; Veliká doba; false; 12; 
1; ZTE Blade L5 Plus; 2018-10-13 10:16:12; žádá velké lidi.; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:16:13; sbsiuId sib7I; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:16:13; hse z; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:16:13; E; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:16:13; 2 orW; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:16:13; $919nt; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; zs Hemos perdido; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; 2un este; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; lo.; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; 2'od s; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; $919d1; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; Umana cosa e; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; aver compassione; false; 12; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; ora w1uTM degli afflitf; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; T22124; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; old your selfe.; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:16:15; 225b 10og d; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; aoTe aD1JTA degli affl; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; erdiio; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; I; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; bsn sioo1E 2aiM; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; doirw vtUssd to bnid isa; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; TwOTrt sd ot 2m9s2; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; .2291b 100q vd tsils1 o1mi; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; MI0r2XIC38S; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; at answer me; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; odW Stand & vnfold rour selfe.; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; 919dt; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; ST1SH 9ioH; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; lsimsbsiA 19b no; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; Umana cosa e; true; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:16:17; aver compassione; true; 12; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; oET 310 PUCKSEITE; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; Umana cosa e; true; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; aver compassione; true; 12; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; aoTe aDLITMA degli afflitti; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; ido; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; IM3TaAAg; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; bsd xoor 2aiM; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; oirw tus9d lo brix 1sd; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; IwoTt 9d ot 2mm992; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; 2291b 100q vd 1sil91 otmi; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; .MaI0T2IGA; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; n9119H 9roH; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; 180604; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; Nay answer me:; false; 12; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; dW stand & vnfold your selfe.; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; 19dt; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; l9imsbsA 19b nov Erschrecken Sie nicht, mene Freundin.; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; anstal der Handschrft son Ihrer Sternbeim; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; eine gedruckte Copev zu erhalten; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; Swelche Ihnen aut einmal die ganze Verratere; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:16:20; entdeckt. die ich an Ihnen begazgen habe; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; Umana cosa; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; aver compaS; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; aoTa wzD1TA deglí afflitti; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; co p InStUs JS I; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; sd nsTa02 6 RO Hemos perdido; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; p titsg 2lq n b nto; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; doidw; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; a nu nai am linişte,; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; Nay answer me:; true; 12; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; aor W sand & vnfold your selfe.; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; S919rt; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; .a291b; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; sbsuid sibi; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; n9119H sroH; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; .ms2ns sbsd E kisse mindarr; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; 1simsbsAA 19b nov Erschrecken Sie n ni; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; atra is h5költer talak; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; I M3T2ATg; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; au este; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; .MaJOT2IaaAg; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; crepúsculo.; false; 12; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; der Handschrift so; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; eine gedruckte Coper zu; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; welche thnen aut einma; false; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:16:22; entdeckt de ich a hnen; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; OT2 M35J; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; I MT2; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; A31OT2XIa; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; D; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; minä nu mai am linişte,; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; Nay ans; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; Stand & vnfol; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; a'or W; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; $919rlt; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; our selfe; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; sbEUTd sib; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; . 62n9 sbEd; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; n9119H; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; 1simsbeA 19; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; Sel dobe; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:16:24; rss & 80Hemos perdido; false; null; 
