scan; model; timestamp; text; twice recognized; locationID
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; M AQUITANL; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; M oUI IPSORUM LINGUA CELTA; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; 140604 EGoo MITmE u59TELLOFG; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; aTL ie Mor.; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; uyny a; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; cefa; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; Mo aARR C; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; Kora e au; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; 1600; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; DET 314 VORDERSEITE; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; eLErdgn; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; 7117uu2; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; 1 unimi tsslsi Oir; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; T9191tis Lncra ik Mayvu; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; tnslsnzz int Li; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; NOSTRA GALLI; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; GALLIA EST OMNIS DIVISA 1N PAKTEs TRES,; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:24:12; QUARUM UNAM 1NCOLUNT BELGAE,; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:24:13; no Value detected; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:24:14; no Value detected; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:24:16; 1600; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:24:16; Legalább vállfát; false; 21; 
4; ZTE Blade L5 Plus; 2018-10-13 10:24:16; ne kelljen keresgélniük.; false; 21; 
4; ZTE Blade L5 Plus; 2018-10-13 10:24:16; 303r von&lhoTR vónsi 2ioqT isn 8yyA; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:24:16; uvy voby inx pa7O vaöl vwTg vohAon; false; null; 
4; ZTE Blade L5 Plus; 2018-10-13 10:24:16; vunins voToÓV imx vxv 17 vi ovsúvq; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:24:18; Legalább vállfát; true; 21; 
5; ZTE Blade L5 Plus; 2018-10-13 10:24:18; ne kelljen keresgélniük.; true; 21; 
5; ZTE Blade L5 Plus; 2018-10-13 10:24:18; s0q33 vonaikoTr vónsi 2rlonT iani8yybkn; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:24:18; uvys vob inx n3TOD VadvwTanv' vükkon; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:24:18; DAKoT DA; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:24:18; z6,voRogTU AoT DoUoM; false; null; 
5; ZTE Blade L5 Plus; 2018-10-13 10:24:18; 1600; true; null; 
6; ZTE Blade L5 Plus; 2018-10-13 10:24:18; no Value detected; false; null; 
7; ZTE Blade L5 Plus; 2018-10-13 10:24:20; no Value detected; false; null; 
8; ZTE Blade L5 Plus; 2018-10-13 10:24:22; TEL; false; null; 
