scan; model; timestamp; text; twice recognized; locationID
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; s 'vogBokxo; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; Sein Blick ist vom Vorübergehn der Stäbe; false; 32; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; so müd geworden, daß er nichts mehr hilt.; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; GAonG Gl sb 16ul nu na; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; 3T16b10Ds 013lup an s1dmon ou ab; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; aD iDyoooik,xooko pol4 Ion; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; DVAb DIDivÓ'TH JDJDo Hiy; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; .voyo9,DIV7On; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; BogA; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; nem mu 1eml 19 uEd; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; 1&llsbnisH ugöm; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; Ih6011EV 16 uliy; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; silsimET lsv; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; iibnid 16gls; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; ihe Rosenhergs nd Ididn t kngw; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; innim o iism what I was doutg in New York; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; Il was a queer Sltry sunuer; false; null; 
1; ZTE Blade L5 Plus; 2018-10-13 10:36:12; 16lle s 6id 6öiH the smmner they eleciroeuted; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; New York; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; 3m16bnoos O13iup on T; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; a Laige atal; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; asd; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; Sein Blick ist vomn Vorübergehn der Stae; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; 'vogBokIol so müd geworden, daß er aichts me; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; io; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; a6alla; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; ooDil z0kko.poiA iDE; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; vouo,DIV7on; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; Tlls is 6id e66i1H; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; Tibai sglsd; false; null; 
2; ZTE Blade L5 Plus; 2018-10-13 10:36:14; sllsbmisH 0m; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:36:16; GdonsM GI sb 6ul nu n3; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:36:16; ... 9m1cbioE O19up on 91dmon ovu3 sb; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:36:16; DVAoDivó'T oJDOD Hiy; false; null; 
3; ZTE Blade L5 Plus; 2018-10-13 10:36:16; Sein Blick ist vom Vorübergehn der Stäbe; false; 32; 
3; ZTE Blade L5 Plus; 2018-10-13 10:36:16; ,DTôogA'TDV'vogBakIoll so müd geworden,d daß er nichts mehr hält.; false; null; 
