scan; model; timestamp; text; twice recognized; locationID
1; SM-A310F; 2018-10-13 10:16:50; obudund nibl; false; null; 
1; SM-A310F; 2018-10-13 10:16:50; maRn9 sbad; false; null; 
1; SM-A310F; 2018-10-13 10:16:50; id W; false; null; 
1; SM-A310F; 2018-10-13 10:16:50; o19111; false; null; 
2; SM-A310F; 2018-10-13 10:16:50; Saptami; false; null; 
2; SM-A310F; 2018-10-13 10:16:50; saf; false; null; 
2; SM-A310F; 2018-10-13 10:16:50; 9bsud sibyl; false; null; 
2; SM-A310F; 2018-10-13 10:16:50; .tnsen9 sbsd; false; null; 
2; SM-A310F; 2018-10-13 10:16:50; 2'ord W; false; null; 
2; SM-A310F; 2018-10-13 10:16:50; S919rt; false; null; 
3; SM-A310F; 2018-10-13 10:16:51; afie; false; null; 
3; SM-A310F; 2018-10-13 10:16:51; sbsund sibi; false; null; 
3; SM-A310F; 2018-10-13 10:16:51; .ms2n9 sbsd; false; null; 
3; SM-A310F; 2018-10-13 10:16:51; a'orl W s; false; null; 
3; SM-A310F; 2018-10-13 10:16:51; S919r; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; tnstus st II; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; esd tesraot s 20 Hemos perdido; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; ritsg aulq nub; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; De o sãptámina; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; De o saptämină nu m i am linişte,; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; 2'or W Stand&; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; S919rt; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; r-ar sã tie!; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; 9bsuId sibvi; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; .ms2ns sbsd; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; Egy kisse min; false; null; 
4; SM-A310F; 2018-10-13 10:16:52; aun este; false; 12; 
4; SM-A310F; 2018-10-13 10:16:52; crepusculo.; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; lsimsbsA 1; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; n919; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; OT2 M32INT; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; I MZT2A; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; MZTOT2XIGg; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; hátra is hököltem töluk.; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; sbsUId sibyi; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; s2n9; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; |Egy kissé mindjárt; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; 2'odW Stand; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; S919dt; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; v anS; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; ină nu mai am linişte,; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; 9l 1uot 19pildo 1u9q no up 1m6tUS JUGT I; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; 9up tisq aulq nu'b niozsd tnsvuoz & nO Hemos perdido; false; null; 
5; SM-A310F; 2018-10-13 10:16:53; crepusculo.; true; null; 
5; SM-A310F; 2018-10-13 10:16:53; auneste; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; aora M3O1ITnA degli; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; 9q; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; sd tnsvEoR S a0 Hemos perdido; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; aun este; false; 12; 
6; SM-A310F; 2018-10-13 10:16:54; crepúsculo.; false; 12; 
6; SM-A310F; 2018-10-13 10:16:54; n linişte.; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; answer me:; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; 2ordW Stand 6 vn; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; S919d; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; Selle.; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; sibyi; false; null; 
6; SM-A310F; 2018-10-13 10:16:54; 9 sbsd; false; null; 
