scan; model; timestamp; text; twice recognized; locationID
1; SM-A310F; 2018-10-13 10:31:44; no Value detected; false; null; 
2; SM-A310F; 2018-10-13 10:31:44; no Value detected; false; null; 
3; SM-A310F; 2018-10-13 10:31:45; no Value detected; false; null; 
4; SM-A310F; 2018-10-13 10:31:45; no Value detected; false; null; 
5; SM-A310F; 2018-10-13 10:31:45; no Value detected; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; En un lugar de la Mancha,; false; 31; 
6; SM-A310F; 2018-10-13 10:31:46; de cuyo nombre no quiero acordarme...; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; nuiob 2s; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; ai Aioo, 6oóTAoKE, Aiaaouai oe; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; Hń ' aoaau nt' óviata 6áuva,; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; TÓTVIa, 8üuov.; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; 9dil2 19b nd9p19düToV mov 1ai oilanis2; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; Jlid iom atdoin 19 anb ,nobiow9 bim o2 IouKAó8pov &eávar Adpoôrra,; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; mögu Heimdallar;; false; 31; 
6; SM-A310F; 2018-10-13 10:31:46; viltu, at ek, Valföör!; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; vel framtelja; false; 31; 
6; SM-A310F; 2018-10-13 10:31:46; forn spjöll fira,; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; pau er fremst um man.; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; helgar kindir; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; 1sw meiri ok minni; false; null; 
6; SM-A310F; 2018-10-13 10:31:46; t Hljóös biò ek allar; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; edpov; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; aeae; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; v; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; forn spi fira; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; sdit2 13b adsp1sdinoV moz; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; rlid tdsm a1doin 19 8cb .abo; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; En un lugar de la Mancha.; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; de cuyo nombre no quiero acordarme; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; Sapva.; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; v abavat Appodera; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; mogu; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; Hi6s bab ek al; false; null; 
7; SM-A310F; 2018-10-13 10:31:47; helgar k; false; null; 
8; SM-A310F; 2018-10-13 10:31:48; iob asn 1 16fw meiri ok minni; false; null; 
8; SM-A310F; 2018-10-13 10:31:48; En un lugar de la Mancha,; false; 31; 
8; SM-A310F; 2018-10-13 10:31:48; de cuyo nombre no quiero acordarme...; false; null; 
8; SM-A310F; 2018-10-13 10:31:48; 19b nd9pr9di1oV mov 12i oila nis2; false; null; 
