scan; model; timestamp; text; twice recognized; locationID
1; SM-A310F; 2018-10-13 10:10:58; b TLICEN STOD; false; null; 
1; SM-A310F; 2018-10-13 10:10:58; Miss Brooke had; false; null; 
1; SM-A310F; 2018-10-13 10:10:58; that kind of beauty which; false; 11; 
1; SM-A310F; 2018-10-13 10:10:58; seems to be thrown; false; 11; 
1; SM-A310F; 2018-10-13 10:10:58; into relief by poor dress.; false; 11; 
1; SM-A310F; 2018-10-13 10:10:58; Hohe; false; null; 
1; SM-A310F; 2018-10-13 10:10:58; von der Akademie; false; null; 
1; SM-A310F; 2018-10-13 10:10:58; PRASTEN I; false; null; 
1; SM-A310F; 2018-10-13 10:10:58; PREDIKSTOLEN; false; null; 
2; SM-A310F; 2018-10-13 10:10:59; ße09BITG; false; null; 
2; SM-A310F; 2018-10-13 10:10:59; 9noi226qTIO; false; null; 
2; SM-A310F; 2018-10-13 10:10:59; b ANTLIGEN STOD; false; null; 
2; SM-A310F; 2018-10-13 10:10:59; PRASTEN1; false; null; 
2; SM-A310F; 2018-10-13 10:10:59; PREDIKSTOLEN.; false; 11; 
2; SM-A310F; 2018-10-13 10:10:59; Miss Brooke had; true; null; 
2; SM-A310F; 2018-10-13 10:10:59; that kind of beauty which; true; 11; 
2; SM-A310F; 2018-10-13 10:10:59; seems to be thrown; true; 11; 
2; SM-A310F; 2018-10-13 10:10:59; into relief by poor dress.; true; 11; 
2; SM-A310F; 2018-10-13 10:10:59; Hohe Herren; false; 11; 
2; SM-A310F; 2018-10-13 10:10:59; von der Akademie; true; null; 
3; SM-A310F; 2018-10-13 10:11:00; b ANrueEN STOD; false; null; 
3; SM-A310F; 2018-10-13 10:11:00; utr which; false; null; 
3; SM-A310F; 2018-10-13 10:11:00; Rode; false; null; 
3; SM-A310F; 2018-10-13 10:11:00; sx veR der Akade; false; null; 
3; SM-A310F; 2018-10-13 10:11:00; Wh; false; null; 
3; SM-A310F; 2018-10-13 10:11:00; there; false; null; 
4; SM-A310F; 2018-10-13 10:11:01; e Who's; false; null; 
4; SM-A310F; 2018-10-13 10:11:01; there?; false; 11; 
5; SM-A310F; 2018-10-13 10:11:02; Lvdia brukade; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; s bada ensam.; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; 2 Who's; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; there?; true; 11; 
5; SM-A310F; 2018-10-13 10:11:02; - at aat; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; cmeut; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; Hohe Herren; false; 11; 
5; SM-A310F; 2018-10-13 10:11:02; von der Akademie!; false; 11; 
5; SM-A310F; 2018-10-13 10:11:02; b ÄxTLIGEN STOD; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; b19q 20rmsH on a s; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; PREDIKSTOLEN.; false; 11; 
5; SM-A310F; 2018-10-13 10:11:02; PRASTENI; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; .oluoaigs13; false; null; 
5; SM-A310F; 2018-10-13 10:11:02; 9129 nUS; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; emie; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; TEDi 322 7; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; Lydia brukade; false; 11; 
6; SM-A310F; 2018-10-13 10:11:03; 3 bada ensam.; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; rOLEN.; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; -Ca peu; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; cbliger tout le m; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; STOD; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; nov blotny B bas12 Who's; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; there?; true; 11; 
6; SM-A310F; 2018-10-13 10:11:03; :9mT9w2mE YS; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; faut; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; obib9q 20msH o a s; false; null; 
6; SM-A310F; 2018-10-13 10:11:03; .oluoaigs13; true; null; 
6; SM-A310F; 2018-10-13 10:11:03; 9129 nUS; true; null; 
7; SM-A310F; 2018-10-13 10:11:04; ET 310; false; null; 
7; SM-A310F; 2018-10-13 10:11:04; D vORDERSE/TE; false; null; 
7; SM-A310F; 2018-10-13 10:11:04; Il faut, autant qu'on peut, oblige; false; null; 
7; SM-A310F; 2018-10-13 10:11:04; On a souvent besoin; false; null; 
7; SM-A310F; 2018-10-13 10:11:04; tout le monde:; false; null; 
7; SM-A310F; 2018-10-13 10:11:04; in d'un plus petit qu; false; null; 
7; SM-A310F; 2018-10-13 10:11:04; m61qie o 9; false; null; 
7; SM-A310F; 2018-10-13 10:11:04; 91ginil rG ism un šnintstga o 9; false; null; 
