scan; model; timestamp; text; twice recognized; locationID
1; SM-A520F; 2018-10-13 10:31:15; En un Jugar de la Manc; false; null; 
1; SM-A520F; 2018-10-13 10:31:15; de cuvo nombre no; false; null; 
2; SM-A520F; 2018-10-13 10:31:15; En un lugar de la Mancha.; false; null; 
2; SM-A520F; 2018-10-13 10:31:15; de curyo nombre n; false; null; 
2; SM-A520F; 2018-10-13 10:31:15; 9dk12 13b ndsUs; false; null; 
2; SM-A520F; 2018-10-13 10:31:15; et ehVal; false; null; 
3; SM-A520F; 2018-10-13 10:31:16; no Value detected; false; null; 
4; SM-A520F; 2018-10-13 10:31:16; En n lugar de la Maha; false; null; 
4; SM-A520F; 2018-10-13 10:31:16; 9d612 1h nd; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; HIj68s bid ek allar; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; helgar kindir,; false; 31; 
5; SM-A520F; 2018-10-13 10:31:17; meiri ok minni; false; 31; 
5; SM-A520F; 2018-10-13 10:31:17; mögu Heimdallar; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; viltu, at ek, Valfodrt; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; vel framtelja; false; 31; 
5; SM-A520F; 2018-10-13 10:31:17; forn spioll fira,; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; pau er fremst um man.; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; En un lugar de la Mancha,; false; 31; 
5; SM-A520F; 2018-10-13 10:31:17; de cuyo nombre no quiero acordarme..; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; 9dit2 19b ndopT9dütoV mov 1al ila nis2; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; JIid ulom airoin 19 8cb,nb1owaR büm oa noKtAdepov a@avar ApobiTa; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; Tai Aioo, 6odónAoxE. Aiaeopai oc; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; Hh Hàoae ht óviaie SaHva,; false; null; 
5; SM-A520F; 2018-10-13 10:31:17; Torvia, 80ov; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; En un lugar de la Mancha,; true; 31; 
6; SM-A520F; 2018-10-13 10:31:18; de cuyo nombre no quiero acordarme...; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; 9dil2 19b ndoeI9diToV mmov 12i oila ni92; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; b ,nsb1ow9p büm o2 louktA68pov à8ávar' 'Appobra,; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; Tai Aioo, 6oóTAOKE, Aiaaouai ae; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; Hn H' áoatot HnT Öviata 8au va,; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; TÓTVIa, 8üuov.; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; 1911U2 12 1991p2 2BI 11; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; nondi stbib 1 bstt; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; mögu Heimdallar;; false; 31; 
6; SM-A520F; 2018-10-13 10:31:18; viltu, at ek, Valföòr!; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; vel framtelja; true; 31; 
6; SM-A520F; 2018-10-13 10:31:18; forn spjöll fira,; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; bau er fremst um man.; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; it Hljóòs biò ek allar; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; u helgar kindir,; false; null; 
6; SM-A520F; 2018-10-13 10:31:18; ui pniob 2n 11ufw meiri ok minni; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; 191z itlua2; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; bstuosl ilt; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; t Hljóòs biò ek allar; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; uon nbit bn; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; En un lugar de la Mancha,; true; 31; 
7; SM-A520F; 2018-10-13 10:31:18; de cuyo nombre no quiero acordarme...; true; null; 
7; SM-A520F; 2018-10-13 10:31:18; er fremst um man.; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; 9dit2 19b ndspT9dinoV mmov 12i oila ni92; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; .tIE T9m 21rloin 19 b ,nob1ow9e bim o2 TlouktAó8pov' aBá vaT' Apobira,; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; ush ni prniob annl 16rw meiri ok minni; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; Hn ' ãoatat unT óviaiot 6áuva,; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; helgar kindir,; false; 31; 
7; SM-A520F; 2018-10-13 10:31:18; mögu Heimdallar;; true; 31; 
7; SM-A520F; 2018-10-13 10:31:18; viltu, at ek, Valfödr!; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; vel framtelja; true; 31; 
7; SM-A520F; 2018-10-13 10:31:18; forn spjöll fira,; true; null; 
7; SM-A520F; 2018-10-13 10:31:18; Tai Aioa, 6oAóT AOKE, Aiaaouai ae; false; null; 
7; SM-A520F; 2018-10-13 10:31:18; TÓTVIa, 8üuov.; true; null; 
8; SM-A520F; 2018-10-13 10:31:19; iob 2nn 1 16w meiri ok minni; false; null; 
8; SM-A520F; 2018-10-13 10:31:19; En un lugar de la Mancha,; true; 31; 
8; SM-A520F; 2018-10-13 10:31:19; de cuyo nombre no quiero acordarme...; true; null; 
8; SM-A520F; 2018-10-13 10:31:19; 9di2 19b ndseT9duToV mov 12i oila ni92; false; null; 
8; SM-A520F; 2018-10-13 10:31:19; b ,nsb1ow9p büm o2 louktAó8pov a8ávat' 'Appoôra,; false; null; 
8; SM-A520F; 2018-10-13 10:31:19; Tai Aioo, 6olóTAOKE, Aiaaouai ae; false; null; 
8; SM-A520F; 2018-10-13 10:31:19; Hn H' aoaot Hht ôviatat 6áuva,; false; null; 
