scan; model; timestamp; text; twice recognized; locationID
1; SM-A520F; 2018-10-13 10:21:19; no Value detected; false; null; 
2; SM-A520F; 2018-10-13 10:21:19; no Value detected; false; null; 
3; SM-A520F; 2018-10-13 10:21:19; no Value detected; false; null; 
4; SM-A520F; 2018-10-13 10:21:20; OARMINMIN; false; null; 
4; SM-A520F; 2018-10-13 10:21:20; MoaKA; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; PSE; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; GALLIA EST OMNIS DIVISA IN PAKTES TKES; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; QUARUM UNAM INCoLUNT BELGAL.; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; ALIAM AoUITANI, TERTIAM OUI IPsORUM LINGUA CELTAE,; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; NOSTRA GALLI APPELLANTUR.; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; Mo ANAR CAMMX e; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; Koraa ne n uyny 3a; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; wssl nunim inolsilM O ynaaTs ceGx 3a; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; nsclES Elouz i111izulu2; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; EGmsurl iiviu.l; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; 180604 EGO0 MITTE AUSSTELLU; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; ysls11Eie inOiA Mayvwe nAMaTL ne MOr.; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; LEdEnEluEl inestrLI; false; null; 
5; SM-A520F; 2018-10-13 10:21:20; EsmslsnE2 inc L; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; ss nunim irslsit; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; rsls11El inoviA; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; nsdsm&IuEl iE1rEl; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; nEnLrnslsn2 int sr?; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; nLGT EIlOuz ETtiuu2; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; DErtmT&IuLI EITivilsl; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; DET 314 VORDERSEITE; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; 1600; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; GALLIA EST OMNIS DIVISA IN PARTES TRES,; false; 21; 
6; SM-A520F; 2018-10-13 10:21:21; QUARUM UNAM INCOLUNT BELGAE,; false; 21; 
6; SM-A520F; 2018-10-13 10:21:21; ALIAM AoUITANI, TERTIAM QUI IPSORUM LINGUA CELTAE,; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; NOSTRA GALLI APPELLANTUR.; true; null; 
6; SM-A520F; 2018-10-13 10:21:21; ecTHbIX npaBH,; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; nyuwe BbAyMaTb He Mor.; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; B IIyTKy 3aHeMor,; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; Mon AaA C; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; Korga; false; null; 
6; SM-A520F; 2018-10-13 10:21:21; OH yBaxaTb ce6 3acTaBHI.; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; DET 314 VORDERSEITE; true; null; 
7; SM-A520F; 2018-10-13 10:21:22; 1600; true; null; 
7; SM-A520F; 2018-10-13 10:21:22; GALLIA EST OMNIS DIVISA IN PARTES TRES,; true; 21; 
7; SM-A520F; 2018-10-13 10:21:22; QUARUM UNAM INCOLUNT BELGAE,; true; 21; 
7; SM-A520F; 2018-10-13 10:21:22; ALIAM AQUITANI, TERTIAM QUI IPSORUM LINGUA CELTAE,; false; 21; 
7; SM-A520F; 2018-10-13 10:21:22; NOSTRA GALLI APPELLANTUR.; true; null; 
7; SM-A520F; 2018-10-13 10:21:22; bIX ITpa; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; 180604 EGOO MITTE AUSSTELLUNG; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; Mo A; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; Korga He B ITyTKy 3aHeMor,; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; rsds nunir ifislsi OH yBaxkaTb ce6s 3acTaBHI.; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; ivslsit inoviA M yuue BbAyMaTb He Mor.; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; .R&rl& ETlou i111iuu2; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; EdEr19lsns2 int' st2; false; null; 
7; SM-A520F; 2018-10-13 10:21:22; srismISIuGI ETiviis; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; ws; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; 1806O4 EGO0 MITTE AUSSTELLUNG; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; nsrlsm E.lOuz E31 1uu2; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; .nEnsmElunl iivis; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; IpaBHI,; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; GALLIA EST OMNIS DIVISA IN PARTES TRES,; true; 21; 
8; SM-A520F; 2018-10-13 10:21:22; QUARUM UNAM INCoLUNT BELGAE,; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; ALIAM AoUITANI, TERTIAM QUI IPSORUM LINGUA CELTAE,; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; NOSTRA GALLI APPELLANTUR.; true; null; 
8; SM-A520F; 2018-10-13 10:21:22; 1600; true; null; 
8; SM-A520F; 2018-10-13 10:21:22; DET 314 VORDERSEITE; true; null; 
8; SM-A520F; 2018-10-13 10:21:22; Kora He B uIyTKy 3aHeMor,; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; nuniru irnslsit OH yBaxaTs ce6 3acraBHn.; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; e BbIAyMaTb He Mor.; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; Mo ARAS caMBIX ecT; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; EErmssng; false; null; 
8; SM-A520F; 2018-10-13 10:21:22; iyslo11EiE inOvi May; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; rrsls! nuni inslsi; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; Mo AAR C; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; Koraa He B LIyTRy 3aHeMOr,; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; OH yBaxaTb ce6s 3acT; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; 180604 EG00 MITTE AUSSTELLUu; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; m EIlou2 ETiulu2; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; asntmslucl Elnivis; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; mpa; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; ERSEIT; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; ivslsnEis inoviA Hywe BbIAyMa; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; B5dsnsIuEl inEstrE1; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; EnsmslsnE2 inE &E; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; IAM AoUITANI,1 TERTIAM QUI IPSORUM LINGUA CELTAE,; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; NOSTRA GALII APPEL; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; GALLIA EST OMNIS DIVISA IN PARIES IRES,; false; null; 
9; SM-A520F; 2018-10-13 10:21:23; QUARUM UNAM INCoLUNT BELGAE,; true; null; 
10; SM-A520F; 2018-10-13 10:21:24; A EST OTS DIVISA IS PAR; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; IFES; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; M ISCOLUNT BE; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; Qt; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; M LINGUA CELIAE,; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; QUI; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; GAIII; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; inslsii O; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; Moă aR C; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; Koraa He B yTEy 32; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; rit Hayme a; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; Lec; false; null; 
10; SM-A520F; 2018-10-13 10:21:24; ne; false; null; 
