scan; model; timestamp; text; twice recognized; locationID
1; SM-A520F; 2018-10-13 10:37:10; ihad; false; null; 
1; SM-A520F; 2018-10-13 10:37:10; A; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; .cfoncM cl sb 1&pul nu na; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; LbhooL O15up on 91dmon oru3 ob; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; I6611aV o 16.uiliv; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; .vONO8,DIVTOn; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; 1alla o 6id a6öilH h; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; Tibnid 163l9d; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; innim o inismu; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; allsbmisH ugöm; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; silo1m& Iov; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; .6Th Ilöiqe mol; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; Sein Blick ist vom Vorübergehn der Stäbe; false; 32; 
2; SM-A520F; 2018-10-13 10:37:11; TIBogA TDVB'voq90kxIoll so müd geworden, das er nichts mehr halt.; false; null; 
2; SM-A520F; 2018-10-13 10:37:11; 30 iDHoDDiA,3xOAnOkosDoiA JDn; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; nbergs. and I didn't kow; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; 1:lls 9 6id; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; .vouue,DVTÖT; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; ,DTIÓoqpA''TDVb8n'vog86oso müd geworden, daß er nichts mehr hält.; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; 30 inoDDiK,3OATOAoB ,DoiA ip; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
3; SM-A520F; 2018-10-13 10:37:12; ,GfonsM sI 9b 6ul nu na; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; 116bi0E O19iup on 91dmon ovu 9b; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; 16llsbmisH ugöm; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; I16011EV 16,uliv; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; sil91mI6T l9v; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; 61it Ilöiqe r1ot; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; .nGm mu 12rm971 19 uEd; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; Tibnid 16l9rl the; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; innim do isisrrt what I was doing in New York.; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; It was a queer. sultry s; false; null; 
3; SM-A520F; 2018-10-13 10:37:12; the sumuner they electrocuted; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; ,DTIÖoqp A; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; 30 iD4oDDiA 3xoOAo; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
4; SM-A520F; 2018-10-13 10:37:12; b 'vog8oAioT so müd geworden, daß er nichts mehr hält.; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; ,sionsM l sb 16Qul nu n3; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; .. 9m16b10DE 01siup on 91dmon ovuD sb; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; New York.; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; 1sIIs9 6id a60ilH the snminer they elec etrocuted; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; II was a quee sultry s; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; .vo4u8,DIVTòT; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; ,DoiA ipT; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; I6llsbmisH ugöm; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; Ii661lsV 9 16 utliv; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; sil91mST I9v; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; 6i Ilöige iol; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; .MEm mu 2m971 19 Usd; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; Tibni 163lsd the R osenbergs. and I didn't kow; false; null; 
4; SM-A520F; 2018-10-13 10:37:12; innimI o iti9m what I was doing i; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; It was à queeE. sultry summer,; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; Tslls s 6id a6öilH th e smner the elec ctrocuted; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; Vew York.; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; ,6donsM sl 9b 16Qul nu na; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; .. 9m1EbioDE O19iup on 91dmon ovuD b; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
5; SM-A520F; 2018-10-13 10:37:13; ń 'vogBokioT so müd geworden, daß er nichts mehr hält.; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; 1ibni 1sglsrl the Rosenbergs. and i didn't knot; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; innino itisrm whatIw was doin; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; 1sllsbmisH ugöm; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; 1601IEV 9 15 uliv; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; sils1m6T Isv; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; ,6Tit Ilöiqe n1ol; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; .nsm mu2m911 19 ud; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; ,DTIOogpA; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; 3D inyooDiK,3xOTOo ,poiA ipT; false; null; 
5; SM-A520F; 2018-10-13 10:37:13; .voyu8,DVTÖT; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; It was a queer. sultry s; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; 3nd I didn't know; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; ,GionsM Gl 9b 16ul nu na; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; TGb10E 019iup on 91dmon ovuo 9b; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; 16llsbrmisH ugöm; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; I16011sV 9 16,uliv; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; sil91mIST Isv; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; llöiqe nol; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; .nEm rmu 12r911 19 uEd; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
6; SM-A520F; 2018-10-13 10:37:14; DTIBogA 'TDVbB b 'vog86kxJoI so müd geworden, daß er nichts mehr hält.; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; Tibnid 1sglsrl the Rosenber; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; 3D iDyooDiK,3xOTOko,poiA ipT; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; .vo4u8,DIVTÖT; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; TElIs 9 6id a60lH the snmner the eled ctrocuted; false; null; 
6; SM-A520F; 2018-10-13 10:37:14; innim o itisrm what I was doing in New York.; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
7; SM-A520F; 2018-10-13 10:37:15; 'vog8okxIo n so müd geworden, daß er nichts mehr hält.; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; ,SionsM sl sb 16Rul nu na; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; .. 9m1Eb1o3E 019iup on 91dmon ovuo sb; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; s. nd Ididn't know; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; .vouú,DIVTOT; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; DTIõogA TDV; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; 3 iDyoDDiK,3xO TOko.DoiA ipT; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; 8llsbmisH ugöm; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; I1661lsV 9 16,uliv; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; sil91mI6T I9v; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; .6Ti Ilöige n1ol; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; .nEm muam911 19 USsd; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; Tibni 1sglsrl the Rosenberg; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; innim o inism what I was doing in New York.; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; It was a queer sultry summer.; false; null; 
7; SM-A520F; 2018-10-13 10:37:15; Islls ds 6id a66ilH the sumner thet eleetr ctrocuted; false; null; 
