scan; model; timestamp; text; twice recognized; locationID
1; ONEPLUS A6003; 2018-10-13 10:15:17; s eb Hemos perdid; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:15:17; auneste; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:15:17; crepúsculo; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:15:17; 2odW; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:15:17; $919r1; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:15:17; sbedund sibyi; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:15:17; ms2n9 Ebsd e; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:15:17; 3doli; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:15:17; 2or W; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:15:17; S919r; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:15:17; eoTe wsouTRAd; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:15:17; sibyl; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:15:17; bedas; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:15:17; EmSEBs sbsd; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; De a sapiámin; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; siptáminã mu n; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; sbEud slbyi; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; mERn9 sbsd t; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; o llemos perdido; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; 2or W; true; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; S919n1; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; aora nxOLTHA d; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; H3JOT2XI03; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; 851191 sdoll; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:15:17; 1simsbEiA sb nog; false; null; 
