scan; model; timestamp; text; twice recognized; locationID
1; ONEPLUS A6003; 2018-10-13 10:13:44; tiss Brooke had; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:13:44; that kind of beauty which; false; 11; 
1; ONEPLUS A6003; 2018-10-13 10:13:44; seems to be thrown; false; 11; 
1; ONEPLUS A6003; 2018-10-13 10:13:44; to relief by poor dress.; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:13:44; Hohe; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:13:44; s von der A; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:13:44; Who' ss; false; null; 
1; ONEPLUS A6003; 2018-10-13 10:13:44; ere; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; onoizesqmo3 197; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; STOD; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; 11; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; PRASTEN; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; PEEDIEST; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; Miss Brooke had; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; that kind of beauty which; true; 11; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; seems to be thrown; true; 11; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; into relief by poor dress.; false; 11; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; Mehe; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; a won der Al; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; 99 e0; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; , Who's; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:13:44; there?; false; 11; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; obibrsg ao; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; .oluzaug912; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; ar la e Who's; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; there?; true; 11; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; Hehe l; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; en der Akademiel; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; onoiz2sqmo 1B; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; ilpob ANTLIGEN SToD; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; PRÁSTENI; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; PREDIKSTOLEN.; false; 11; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; Miss Brooke had; true; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; that kind of beauty which; true; 11; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; seems to be thrown; true; 11; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; into relief by poor dress.; true; 11; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; 5 s203 snEmU; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:13:44; iil; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; 6 s203 5ISU; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; 9rioi226qio 19VB; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; niliis ilpob ANTLIGEN STOD; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; PRASTEN I; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; PREDIKSTOLEN.; true; 11; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; Miss Brooke had; true; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; that kind of beauty which; true; 11; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; seems to be thrown; true; 11; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; into relief by poor dress.; true; 11; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; om 19wans VM; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; loe uog biolnv a bnnl2 Who's; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; there?; true; 11; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; Hohe Herren; false; 11; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; brd Von der Akademie!; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; obibT9g aora9; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:13:44; .oluoaùq9; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; 6 S20 SI6U; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; 91oi2Sqrio 19V6; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; ittill1s ilpsb ANTLIGEN STOD; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; obib19q 20rn9; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; 9129 IUE; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; .oluoaiig91; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; Miss Brooke had; true; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; that kind of beauty which; true; 11; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; seems to be thrown; true; 11; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; into relief by poor dress.; true; 11; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; Hohe Herren; true; 11; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; nslosıdoa3 von der Akademie!; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; s v9qo3 stbunbso snig; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; sV 9snEp sib lEmnis lu; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; PRASTEN I; true; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; PREDIKSTOLEN.; true; 11; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; :om 19wans VM; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; to uo blolnv a bnsle Who's; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:13:44; there?; true; 11; 
6; ONEPLUS A6003; 2018-10-13 10:13:45; 6 s20 SI6mU; false; null; 
