scan; model; timestamp; text; twice recognized; locationID
1; ONEPLUS A6003; 2018-10-13 10:35:29; -; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:35:29; no Value detected; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:35:29; IST; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:35:29; TOLL; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:35:30; daß er ichs ehr hai; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:35:30; aibail ead; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:35:30; Pallabmislt wlm; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:35:30; h6lsV liy; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:35:30; Bilsmploy; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; hll; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; Noyo0,BIV; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; BYbog; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; 'Dv606'vog06koll som6d geworden, daRer niehts mebr hialt.; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; st vom Vorubergehn der Stabe; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; H 18991 19 H8; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; 6ARM Bl sb 6ul nu n; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; tnogs o1slup on 1dmon us sb; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; Hibhnid RAl; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; innim do inism; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; Hallabmisl aoa; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; h6oilaVs sliy; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:35:30; As 61d 661H; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; Il was a q; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; 16lls ds 6id a66ilH; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; ,6fonsM lsb 1EQul nu n3; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; , 9m1stnos O19iup on s1dmon oru sb; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; DVAD iDIDiv; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; .vOH08.DIVTOR; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; ibnid 163lsd the Rosenberns; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; innim io hisn what I was daio; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; 16llabmisH ugöm; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; Ih6611EV s 1,uiliv; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; BilsimET Isv; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; 61T Iloiqe mmol; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; nam mu 1emsil 19 UEd; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; Sein Blick ist vom Vorübergehn der Stäbe; false; 32; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; .DTIBOgA '7DVb8ó'vog9kxIoTI so müd geworden, daß er nichts mehr hält.; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:35:30; 3o iDHoDDiK,3xoknoko.DoiA ip; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; Il was a queer. sultry su; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; T&lls s 6id a6öilH the s; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; nd I didn't know; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; GdoneM El sb 1pul nu na; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; 1Gb10 O19iup on 51dmon ovu3 sb; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; ibnid 163lsi the Rosenbergs.; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; DTIÖoqA TDV8'vog9AxIoI so müd geworden, d; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; 16llsbmisH ugörr; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; Bils1mET Isv; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; .61 Ilöiqe mol; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; 30 iDyoooi,3xoAmokos DoiA ipT; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:35:30; .vOyO9,DIVTÖT; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; 'vog96kxioll so m üd geworden, daß er nichts mehr hält.; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; GroncM Gl sb 1Eul nu na; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; ... ommcbi03L 015iup on 91dmon ou3 sb; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; 1Ells s 6id a66ilH th; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; Il was aqueer sultry summer.; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; .vOAü8DIVTÖ; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; 3D iDHoDDiA.3xoknOko8.DoiA iDR; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; ibnid 163lsd the Rosenbergs. 3; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; innim o itism whar was doi; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; DVAb JDDiv'Tiy DIDD 'H f; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; DTIÖogpATDv8; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; sils1mET lsv; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; 61i Ilöige ol; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; nEm mu 12rms1 19 UBd; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:35:30; 1&llcbmisH ugöm; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; II was a queer. sultry sunner.; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; TEllE s 6id a6oilH the; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; .GionM Gl sb 1pul nu n3; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; mubioE O15iup on 91dmon oquo sb; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; Sein Blick ist vom Vorübergehn der Stäbe; false; 32; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; ibni 163l9 he Rosenbergs. a; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; innim do tism what I was doin in New York; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; 16llsbmisH ugöm; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; h601lEV 9 16 uliv; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; sil91I6T Isv; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; ilõiqe m101; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; DTIÖogA'TDVb'vogBoko so müd geworden, daß er; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; 3D iDHoDDi.3xoKTÖÁod.polA ipT; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:35:31; .vONu8,DIVTOT; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; Il was a queer. sultry summer; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; 1&lle s 6id e6öilH the sumner they; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; .fonsM Gl sb 1spul nu n3; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; ... 9m1ub103 019iup on 91dmon oqu ab; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; 'vogBoAxo n so müd geworden, daß er nichts mehr hält.; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; tibnid 163lod the Rosenbergs. an; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; innim o inism what I was dolng in New York; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; T&llcbmisH ugöm; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; Ih661lEV 1,uiliv; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; BilsimET lsv; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; .61h Ilöiqe nmol; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; DTIBOgA; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; 30 inyoDDiK.3xoknokos.DoiA iDT; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; .DVb JDIDivo'Ty DJDOD 'H; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:35:31; vOHU,DIVTOT; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; II was a queer. sltry summer.; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; 1elle s 6id a60ilH the summer thet elecl; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; at I was doing in New York.; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; GionslM l sb 16pul nu n3; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; .. 9m1sb10 015iup on 91dmon ovu sb; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; ibnid 163ld the Rosenbergs. and I didn't know; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; 6llabmisH u30m; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; I16611EV 16,uiliv; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; BilsimET lsv; true; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; .T Ilöige n1ol; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; nEm mu 12ms71 19 uBd; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; ,DTIÕogpA TDV8 'vogBAixo 1 so müd geworden, daß er nichts mehr hält.; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; DVAD DIDivO'TfA DJDOD '4 f; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; 3D iDHoDDIK.3okTÖos.DoiA ipn; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:35:31; .vOy09.DIVTOT; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; was a queer. sultry sunmer; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; 1&lls s 6id a6öilH the s; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; .GionsM l sb 1EDul nu n; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; 9mmb10E O1iup on 31dmon ovu sb; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; iibnid 163lsd the Rosenbergs. 3nd I didnt know; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; innim o iism whal I was doing in; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; 16llsbmisH ugöm; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; h601lEV 16,uliv; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; silsimET1 lsv; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; .GT Ilöige mmol; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; nEm mu 1emsl 19 UEd; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; .DTibogpA DV9'vogB6kIo so müd geworden, daß er nichts mehr hält.; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; DVyb DIpivó rity D/Do H; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; 3D inyoDDiA 3xoARÖAo.DoiA ipT; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:35:31; .vOyu8,DIVTOT; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; Il was a queer. sultry sunmer; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; Tslls s 6id a6öilH he; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; EonsM tl sb 1sDul nu n3; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; .. 9m16b103E 015iup on 1dmon oru sb; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; Sein Blick ist vom Vorübergehn der Stäbe; true; 32; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; DTIBOgA7DV8'vog9ioT so müd geworden, daß er nichts mehr hält.; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; 30 ipHoDDiK 3xOKTOko.DoiA; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; DVAb DIDivó'T; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; vOyu8,DIVzOT; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; iibni 163lsd the Rosenbergs. 3 nd I didn't know; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; innim do inism what I was doing in New York.; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; T&ll&bmisH ugoT; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; h601lEV s 1E,uliv; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; sils1mET lsv; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; Eh Ilöige m1ol; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:35:31; nEm mu 12m911 19 UEd; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; II was a queer. sultry; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; Tibni 163lsd the Rosenbergs. a; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; 16llsbmisH ugöm; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; h661lEV s 16,uIliv; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; sils1m671 I9v; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; .6h llöiqe ol; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; u 1emsl 19 uBd; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; GionM l sb 1EPul nu n3; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:35:32; ... 9mTGb102 019iup on s1dmon ovus sb; false; null; 
