scan; model; timestamp; text; twice recognized; locationID
1; ONEPLUS A6003; 2018-10-13 10:24:50; Haye; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:24:50; no Value detected; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:24:50; no Value detected; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:24:50; GAA FsY OMRI; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:24:50; uIARU AM INOL; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:24:50; iAM ApANIEAM O arse; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:24:50; aSETE; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; nEdumslatl inirigsl; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; rralstiEis ingriA Hzyvue B; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; nEdEmslusl inistdi; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; Koraa e B LyTRy 3a; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; DET 314 ORDERSEITE; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; QEA; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; AM IXCOLUNT BELGAE; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; ALIAM AQUITANI.; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; NOSTRA GA; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:24:50; LA ST OMOIS DIVISA IN PAKTES TES.; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; DET 314 VORDERSEITE; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; UL IPSORUM LINGUA CELTAE.; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; ruo nunim inslsil O; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; nEdsmslucl iarivi; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; EGOO MITTE; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; GALIA ST OMNIS DrVISA IS PAKTES TES.; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; QUARM UAM INCOLUNT BILAE.; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; NOSTRA GALLI APPELLANTU; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; Moii AR C; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; Koraa He B LyTKy 3aHeMor,; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:24:51; vslsmcis inoriA Hayvue BbAyMaTb He MOr.; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; DET 314 VORDERSEITE; true; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; A IST OMNIS DIVISA IN PAKTES TRES.; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; oUARUM UNAM INCoLUNT BELGAE,; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; rasI, TETIAM Ouu ISORUM LINGUA CHLTAE.; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; Mo Asns caMIx ye; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; pasMn; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; wss nunim inslsilM ( OH yBaKaTh ce6s 3acTaBH1.; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; ivsls1iE ingriA HTyuue BIyMa; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; nEMGmslutl EITlvils; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:24:51; boE04 EGO0 MITTE AUSsTELLUNG; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; DET 314 VORDERSEITE; true; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; GALLIA EST OXNIS DIVISA IN PAKTES TES.; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; QUARUM UNA; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; INCOLUNT BELGAE.; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; 3TIANM OUI IPSORUM LINGUA CELTAL; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; nE&mslusl iniill; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; AUSSTELLUNG; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; Mo AAN caMBIX SeCTINX mpa; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; Koraa He B ulLTKy 3aHeMor,; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; ol nunim inslsil OH ysaxaTL ce6s 3acTaBI.; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:24:51; vslamcis ingriA ayuue; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; DET 314 VORDERSEITE; true; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; GaLIA EST OMNIS DIVISA IN PAKTES TR; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; oUARUM UNAM INCOLUNT BELGAE,; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; NOSTRA GALLI APPELLANT; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; m sORUM LINGUA CELTAE.; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; Koraa He B uyTKy 3aHeMor,; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; wA unim inslsilM O ya; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; ivsls11ci ingriA H Tyuue BhAYMaT; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; aEAGmslutl inlvicl; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:24:51; 150E04; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:24:51; DET 314 voRDERSEITE; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:24:51; A IST ONNIS pIVISA IN PARTES TRES.; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:24:51; oUARTM UNAM INCOLUNT BELGAE.; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:24:51; ALIAM AotITANLT; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:24:51; S1. TEXTIAM QUT IPSORUM LINGUA; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:24:51; Koraa He B yTEy 33; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:24:51; vslsnEls ingriA Hayume ByMaTb He; false; null; 
11; ONEPLUS A6003; 2018-10-13 10:24:51; AEfcmslutl Einiril; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:24:52; smsit ingriA; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:24:52; Haye B; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:24:52; rslst nETin inslsil OH; false; null; 
12; ONEPLUS A6003; 2018-10-13 10:24:52; PARTES TRES.; false; null; 
13; ONEPLUS A6003; 2018-10-13 10:24:52; sA IN PAKTES TRES.; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:24:52; Rorga Be BEy; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:24:52; Lega; false; null; 
14; ONEPLUS A6003; 2018-10-13 10:24:52; ne; false; null; 
15; ONEPLUS A6003; 2018-10-13 10:24:52; ne ke; false; null; 
16; ONEPLUS A6003; 2018-10-13 10:24:52; no Value detected; false; null; 
17; ONEPLUS A6003; 2018-10-13 10:24:52; Legalább v; false; null; 
17; ONEPLUS A6003; 2018-10-13 10:24:52; ne kelljen ke; false; null; 
18; ONEPLUS A6003; 2018-10-13 10:24:52; Lecal; false; null; 
18; ONEPLUS A6003; 2018-10-13 10:24:52; ne keljen keres; false; null; 
19; ONEPLUS A6003; 2018-10-13 10:24:53; shes; false; null; 
19; ONEPLUS A6003; 2018-10-13 10:24:53; Legal vallfát; false; null; 
19; ONEPLUS A6003; 2018-10-13 10:24:53; e keljen keresgé; false; null; 
20; ONEPLUS A6003; 2018-10-13 10:24:53; calabb val; false; null; 
20; ONEPLUS A6003; 2018-10-13 10:24:53; ne elien ke; false; null; 
21; ONEPLUS A6003; 2018-10-13 10:24:53; Legalább vállfát; false; 21; 
21; ONEPLUS A6003; 2018-10-13 10:24:53; ne kelljen keresgélniük; false; null; 
22; ONEPLUS A6003; 2018-10-13 10:24:53; Legalább vállfát; true; 21; 
22; ONEPLUS A6003; 2018-10-13 10:24:53; ne kelljen keres; false; null; 
23; ONEPLUS A6003; 2018-10-13 10:24:53; Legalább vállfat; false; null; 
23; ONEPLUS A6003; 2018-10-13 10:24:53; ne kelljen keresgélnink.; false; null; 
24; ONEPLUS A6003; 2018-10-13 10:24:53; Legalább v; false; null; 
24; ONEPLUS A6003; 2018-10-13 10:24:53; e kelljen ker; false; null; 
24; ONEPLUS A6003; 2018-10-13 10:24:53; elnit; false; null; 
25; ONEPLUS A6003; 2018-10-13 10:24:53; Legalább vállfát; false; 21; 
25; ONEPLUS A6003; 2018-10-13 10:24:53; ne kelljen keres; false; null; 
25; ONEPLUS A6003; 2018-10-13 10:24:53; rri; false; null; 
26; ONEPLUS A6003; 2018-10-13 10:24:54; r nyo; false; null; 
26; ONEPLUS A6003; 2018-10-13 10:24:54; yai zpimT ia; false; null; 
26; ONEPLUS A6003; 2018-10-13 10:24:54; rrsi; false; null; 
26; ONEPLUS A6003; 2018-10-13 10:24:54; Legalább vállfát; true; 21; 
26; ONEPLUS A6003; 2018-10-13 10:24:54; ne kelljen keresg; false; null; 
26; ONEPLUS A6003; 2018-10-13 10:24:54; roąut; false; null; 
27; ONEPLUS A6003; 2018-10-13 10:24:54; Legalább vállfát; true; 21; 
27; ONEPLUS A6003; 2018-10-13 10:24:54; ne kelljen keresgélniük; false; null; 
28; ONEPLUS A6003; 2018-10-13 10:24:54; alat; false; null; 
28; ONEPLUS A6003; 2018-10-13 10:24:54; ne keen kerescérink; false; null; 
29; ONEPLUS A6003; 2018-10-13 10:24:54; Legalabb vallf; false; null; 
29; ONEPLUS A6003; 2018-10-13 10:24:54; ne kelljen; false; null; 
29; ONEPLUS A6003; 2018-10-13 10:24:54; génink; false; null; 
30; ONEPLUS A6003; 2018-10-13 10:24:54; Legalább vallfát; false; null; 
30; ONEPLUS A6003; 2018-10-13 10:24:54; ne kelljen keresgéln; false; null; 
31; ONEPLUS A6003; 2018-10-13 10:24:54; n n mnT isr; false; null; 
31; ONEPLUS A6003; 2018-10-13 10:24:54; Legalább vallfát; true; null; 
31; ONEPLUS A6003; 2018-10-13 10:24:54; ne kelljen keresgélniük; false; null; 
32; ONEPLUS A6003; 2018-10-13 10:24:55; blloz skog 6.; false; null; 
32; ONEPLUS A6003; 2018-10-13 10:24:55; Legalább vállfát; false; 21; 
32; ONEPLUS A6003; 2018-10-13 10:24:55; ne kelljen keresgélniük.; false; 21; 
33; ONEPLUS A6003; 2018-10-13 10:24:55; onoqTü Kor; false; null; 
33; ONEPLUS A6003; 2018-10-13 10:24:55; 3Da vonlko72 vónal zplon T iazi prybA; false; null; 
33; ONEPLUS A6003; 2018-10-13 10:24:55; tavy vobr inx naTO vs81 vunianrb vo; false; null; 
33; ONEPLUS A6003; 2018-10-13 10:24:55; voqut bTDX v DayKB vat6r yTvön viY63 6Aon; false; null; 
33; ONEPLUS A6003; 2018-10-13 10:24:55; Ytaqint3 voTDOVin; false; null; 
33; ONEPLUS A6003; 2018-10-13 10:24:55; Legalább vállfát; true; 21; 
33; ONEPLUS A6003; 2018-10-13 10:24:55; ne kelljen keresgélniük.; true; 21; 
34; ONEPLUS A6003; 2018-10-13 10:24:55; bAkon uAby 26,voRonTükon ,opiol av; false; null; 
34; ONEPLUS A6003; 2018-10-13 10:24:55; Legalább vállfát; true; 21; 
34; ONEPLUS A6003; 2018-10-13 10:24:55; ne kelljen keresgélniük.; true; 21; 
34; ONEPLUS A6003; 2018-10-13 10:24:55; -Dr von03lko7T vonl oplonT ians trbs; false; null; 
34; ONEPLUS A6003; 2018-10-13 10:24:55; vys vobv inx D3TOD V38l vunian8v; false; null; 
34; ONEPLUS A6003; 2018-10-13 10:24:55; vöyut b7Dx v D3y Ai v0h TvOr v'y63 6Alon; false; null; 
34; ONEPLUS A6003; 2018-10-13 10:24:55; voginTi vOTDOV inz vfxvy 37 v2; false; null; 
35; ONEPLUS A6003; 2018-10-13 10:24:55; oR DAbA 26,voRoqrOAon Do; false; null; 
35; ONEPLUS A6003; 2018-10-13 10:24:55; vonGalKoT; false; null; 
35; ONEPLUS A6003; 2018-10-13 10:24:55; ai 2pionT lazi.pry6Am; false; null; 
35; ONEPLUS A6003; 2018-10-13 10:24:55; svys voov inx p3TOD vs81v manb8 valon; false; null; 
35; ONEPLUS A6003; 2018-10-13 10:24:55; vOyutb7DX v& DIy A vabn yTvb vY68 6Alon; false; null; 
35; ONEPLUS A6003; 2018-10-13 10:24:55; vaninTS vOTOOV inz vfxuy s37 24irwn; false; null; 
35; ONEPLUS A6003; 2018-10-13 10:24:55; Legalább vállfát; true; 21; 
35; ONEPLUS A6003; 2018-10-13 10:24:55; ne kelljen keresgélniük.; true; 21; 
36; ONEPLUS A6003; 2018-10-13 10:24:55; bAkon DAb 26,voRonTAoT.D0ol; false; null; 
36; ONEPLUS A6003; 2018-10-13 10:24:55; p9rybk; false; null; 
36; ONEPLUS A6003; 2018-10-13 10:24:55; Legalább vállfát; true; 21; 
36; ONEPLUS A6003; 2018-10-13 10:24:55; ne kelljen keresgélniük.; true; 21; 
36; ONEPLUS A6003; 2018-10-13 10:24:55; 3DISR3 vonalkor vOnal pionT iss; false; null; 
36; ONEPLUS A6003; 2018-10-13 10:24:55; ovy vobv inx naTO Vl vwrinb 8 vaon; false; null; 
36; ONEPLUS A6003; 2018-10-13 10:24:55; vout DTDX VO Day A va06n yTvOT v'Y63 6on; false; null; 
36; ONEPLUS A6003; 2018-10-13 10:24:55; vuninTS vOTOOY inz vfxvt 37 v 3v; false; null; 
37; ONEPLUS A6003; 2018-10-13 10:24:55; BAkon DAby 26,voRonTkor podolM ar; false; null; 
37; ONEPLUS A6003; 2018-10-13 10:24:55; vi'6 6Aon; false; null; 
37; ONEPLUS A6003; 2018-10-13 10:24:55; vaninTS vOTOOY inz vfxu 17 v v4; false; null; 
